{x=97,m=3034,a=520,s=1230}
{x=1022,m=155,a=3318,s=556}
{x=376,m=1130,a=1293,s=7}
{x=268,m=873,a=408,s=453}
{x=2057,m=1316,a=1370,s=1291}
{x=81,m=285,a=1445,s=2015}
{x=2449,m=725,a=1567,s=1198}
{x=2550,m=779,a=178,s=9}
{x=719,m=574,a=3040,s=2694}
{x=272,m=92,a=1526,s=811}
{x=10,m=354,a=285,s=476}
{x=43,m=2071,a=1017,s=501}
{x=680,m=1749,a=2515,s=3395}
{x=369,m=1441,a=444,s=820}
{x=1946,m=616,a=398,s=1840}
{x=693,m=3478,a=53,s=487}
{x=2902,m=429,a=237,s=525}
{x=442,m=209,a=2734,s=1911}
{x=3447,m=953,a=696,s=392}
{x=658,m=65,a=1036,s=821}
{x=720,m=570,a=40,s=463}
{x=1607,m=147,a=952,s=1673}
{x=1169,m=1312,a=481,s=2083}
{x=709,m=160,a=186,s=1370}
{x=1283,m=2187,a=337,s=89}
{x=2933,m=2469,a=55,s=1198}
{x=1009,m=813,a=1280,s=1980}
{x=1128,m=446,a=56,s=2315}
{x=320,m=839,a=1176,s=1555}
{x=2719,m=1776,a=2869,s=593}
{x=1236,m=2786,a=1644,s=131}
{x=1806,m=1125,a=196,s=2414}
{x=175,m=1618,a=381,s=2136}
{x=748,m=58,a=1006,s=676}
{x=449,m=56,a=852,s=428}
{x=1447,m=515,a=2256,s=550}
{x=2372,m=2045,a=845,s=2483}
{x=3147,m=1641,a=708,s=702}
{x=123,m=426,a=4,s=59}
{x=615,m=253,a=1880,s=1551}
{x=99,m=1119,a=473,s=987}
{x=3070,m=1697,a=1137,s=2525}
{x=967,m=2275,a=429,s=106}
{x=1615,m=2679,a=405,s=166}
{x=1564,m=200,a=307,s=154}
{x=74,m=2971,a=1556,s=199}
{x=3023,m=1890,a=2602,s=416}
{x=2854,m=67,a=662,s=718}
{x=95,m=97,a=214,s=252}
{x=2025,m=788,a=191,s=880}
{x=975,m=485,a=355,s=52}
{x=619,m=758,a=491,s=569}
{x=197,m=12,a=193,s=2070}
{x=839,m=652,a=20,s=24}
{x=83,m=92,a=309,s=536}
{x=3025,m=501,a=1418,s=1540}
{x=42,m=1817,a=170,s=2125}
{x=808,m=662,a=41,s=577}
{x=30,m=142,a=1692,s=474}
{x=854,m=1999,a=3126,s=1189}
{x=346,m=1370,a=1116,s=2035}
{x=233,m=752,a=516,s=1179}
{x=3217,m=3109,a=29,s=73}
{x=484,m=2314,a=225,s=2}
{x=898,m=2681,a=2313,s=1328}
{x=1095,m=1220,a=331,s=1174}
{x=3569,m=1665,a=27,s=324}
{x=170,m=2228,a=3119,s=618}
{x=17,m=186,a=1137,s=5}
{x=75,m=938,a=235,s=73}
{x=569,m=330,a=1178,s=1201}
{x=2288,m=199,a=2644,s=21}
{x=741,m=580,a=114,s=1896}
{x=234,m=524,a=1372,s=616}
{x=1027,m=27,a=905,s=1145}
{x=170,m=24,a=888,s=1257}
{x=2412,m=2908,a=327,s=627}
{x=2041,m=1036,a=1798,s=3228}
{x=887,m=164,a=75,s=2456}
{x=56,m=595,a=1643,s=86}
{x=88,m=394,a=292,s=277}
{x=1343,m=1241,a=2035,s=180}
{x=50,m=150,a=496,s=378}
{x=1414,m=828,a=1585,s=226}
{x=3243,m=117,a=1357,s=141}
{x=528,m=854,a=259,s=619}
{x=40,m=794,a=1497,s=2787}
{x=2157,m=388,a=658,s=993}
{x=911,m=1159,a=346,s=1165}
{x=105,m=916,a=84,s=2514}
{x=2577,m=1880,a=601,s=2679}
{x=2262,m=1108,a=1022,s=45}
{x=780,m=445,a=291,s=201}
{x=3173,m=535,a=1280,s=3422}
{x=1308,m=49,a=910,s=1391}
{x=944,m=158,a=3,s=1409}
{x=125,m=340,a=1970,s=3505}
{x=145,m=2289,a=1040,s=1482}
{x=1395,m=1185,a=224,s=1174}
